"dep";"jour";"nb"
"01";"2020-03-18";1
"02";"2020-03-18";4
"03";"2020-03-18";2
"04";"2020-03-18";2
"05";"2020-03-18";2
"06";"2020-03-18";5
"07";"2020-03-18";3
"08";"2020-03-18";1
"09";"2020-03-18";1
"10";"2020-03-18";1
"11";"2020-03-18";3
"12";"2020-03-18";1
"13";"2020-03-18";12
"14";"2020-03-18";1
"15";"2020-03-18";1
"16";"2020-03-18";1
"17";"2020-03-18";2
"18";"2020-03-18";0
"19";"2020-03-18";0
"21";"2020-03-18";2
"22";"2020-03-18";2
"23";"2020-03-18";0
"24";"2020-03-18";1
"25";"2020-03-18";2
"26";"2020-03-18";4
"27";"2020-03-18";1
"28";"2020-03-18";2
"29";"2020-03-18";3
"2A";"2020-03-18";1
"2B";"2020-03-18";0
"30";"2020-03-18";2
"31";"2020-03-18";4
"32";"2020-03-18";1
"33";"2020-03-18";5
"34";"2020-03-18";6
"35";"2020-03-18";1
"36";"2020-03-18";0
"37";"2020-03-18";1
"38";"2020-03-18";3
"39";"2020-03-18";2
"40";"2020-03-18";0
"41";"2020-03-18";0
"42";"2020-03-18";4
"43";"2020-03-18";1
"44";"2020-03-18";3
"45";"2020-03-18";1
"46";"2020-03-18";1
"47";"2020-03-18";1
"48";"2020-03-18";1
"49";"2020-03-18";3
"50";"2020-03-18";3
"51";"2020-03-18";3
"52";"2020-03-18";2
"53";"2020-03-18";1
"54";"2020-03-18";5
"55";"2020-03-18";1
"56";"2020-03-18";3
"57";"2020-03-18";8
"58";"2020-03-18";0
"59";"2020-03-18";9
"60";"2020-03-18";8
"61";"2020-03-18";3
"62";"2020-03-18";8
"63";"2020-03-18";1
"64";"2020-03-18";2
"65";"2020-03-18";0
"66";"2020-03-18";1
"67";"2020-03-18";8
"68";"2020-03-18";8
"69";"2020-03-18";9
"70";"2020-03-18";1
"71";"2020-03-18";3
"72";"2020-03-18";1
"73";"2020-03-18";2
"74";"2020-03-18";2
"75";"2020-03-18";15
"76";"2020-03-18";5
"77";"2020-03-18";4
"78";"2020-03-18";4
"79";"2020-03-18";1
"80";"2020-03-18";4
"81";"2020-03-18";2
"82";"2020-03-18";1
"83";"2020-03-18";2
"84";"2020-03-18";4
"85";"2020-03-18";1
"86";"2020-03-18";1
"87";"2020-03-18";1
"88";"2020-03-18";3
"89";"2020-03-18";2
"90";"2020-03-18";1
"91";"2020-03-18";2
"92";"2020-03-18";10
"93";"2020-03-18";7
"94";"2020-03-18";8
"95";"2020-03-18";4
"971";"2020-03-18";0
"972";"2020-03-18";1
"973";"2020-03-18";0
"974";"2020-03-18";1
"976";"2020-03-18";0
"01";"2020-03-19";1
"02";"2020-03-19";5
"03";"2020-03-19";2
"04";"2020-03-19";2
"05";"2020-03-19";2
"06";"2020-03-19";6
"07";"2020-03-19";3
"08";"2020-03-19";1
"09";"2020-03-19";1
"10";"2020-03-19";1
"11";"2020-03-19";3
"12";"2020-03-19";1
"13";"2020-03-19";12
"14";"2020-03-19";2
"15";"2020-03-19";1
"16";"2020-03-19";1
"17";"2020-03-19";2
"18";"2020-03-19";0
"19";"2020-03-19";1
"21";"2020-03-19";2
"22";"2020-03-19";2
"23";"2020-03-19";0
"24";"2020-03-19";1
"25";"2020-03-19";2
"26";"2020-03-19";5
"27";"2020-03-19";1
"28";"2020-03-19";2
"29";"2020-03-19";3
"2A";"2020-03-19";1
"2B";"2020-03-19";0
"30";"2020-03-19";2
"31";"2020-03-19";4
"32";"2020-03-19";1
"33";"2020-03-19";5
"34";"2020-03-19";8
"35";"2020-03-19";3
"36";"2020-03-19";1
"37";"2020-03-19";1
"38";"2020-03-19";5
"39";"2020-03-19";2
"40";"2020-03-19";0
"41";"2020-03-19";1
"42";"2020-03-19";5
"43";"2020-03-19";1
"44";"2020-03-19";6
"45";"2020-03-19";1
"46";"2020-03-19";1
"47";"2020-03-19";1
"48";"2020-03-19";1
"49";"2020-03-19";3
"50";"2020-03-19";3
"51";"2020-03-19";3
"52";"2020-03-19";2
"53";"2020-03-19";1
"54";"2020-03-19";6
"55";"2020-03-19";2
"56";"2020-03-19";4
"57";"2020-03-19";8
"58";"2020-03-19";0
"59";"2020-03-19";11
"60";"2020-03-19";8
"61";"2020-03-19";3
"62";"2020-03-19";9
"63";"2020-03-19";1
"64";"2020-03-19";3
"65";"2020-03-19";1
"66";"2020-03-19";1
"67";"2020-03-19";10
"68";"2020-03-19";9
"69";"2020-03-19";13
"70";"2020-03-19";1
"71";"2020-03-19";3
"72";"2020-03-19";1
"73";"2020-03-19";2
"74";"2020-03-19";4
"75";"2020-03-19";18
"76";"2020-03-19";4
"77";"2020-03-19";4
"78";"2020-03-19";6
"79";"2020-03-19";1
"80";"2020-03-19";4
"81";"2020-03-19";3
"82";"2020-03-19";1
"83";"2020-03-19";2
"84";"2020-03-19";4
"85";"2020-03-19";1
"86";"2020-03-19";1
"87";"2020-03-19";1
"88";"2020-03-19";3
"89";"2020-03-19";2
"90";"2020-03-19";1
"91";"2020-03-19";4
"92";"2020-03-19";11
"93";"2020-03-19";8
"94";"2020-03-19";10
"95";"2020-03-19";5
"971";"2020-03-19";0
"972";"2020-03-19";1
"973";"2020-03-19";0
"974";"2020-03-19";1
"976";"2020-03-19";0
"01";"2020-03-20";1
"02";"2020-03-20";5
"03";"2020-03-20";2
"04";"2020-03-20";2
"05";"2020-03-20";2
"06";"2020-03-20";8
"07";"2020-03-20";4
"08";"2020-03-20";1
"09";"2020-03-20";1
"10";"2020-03-20";1
"11";"2020-03-20";3
"12";"2020-03-20";1
"13";"2020-03-20";14
"14";"2020-03-20";2
"15";"2020-03-20";1
"16";"2020-03-20";1
"17";"2020-03-20";2
"18";"2020-03-20";0
"19";"2020-03-20";1
"21";"2020-03-20";2
"22";"2020-03-20";2
"23";"2020-03-20";0
"24";"2020-03-20";1
"25";"2020-03-20";2
"26";"2020-03-20";5
"27";"2020-03-20";1
"28";"2020-03-20";2
"29";"2020-03-20";3
"2A";"2020-03-20";1
"2B";"2020-03-20";1
"30";"2020-03-20";2
"31";"2020-03-20";5
"32";"2020-03-20";1
"33";"2020-03-20";7
"34";"2020-03-20";7
"35";"2020-03-20";3
"36";"2020-03-20";1
"37";"2020-03-20";1
"38";"2020-03-20";5
"39";"2020-03-20";2
"40";"2020-03-20";0
"41";"2020-03-20";1
"42";"2020-03-20";7
"43";"2020-03-20";1
"44";"2020-03-20";5
"45";"2020-03-20";2
"46";"2020-03-20";1
"47";"2020-03-20";1
"48";"2020-03-20";1
"49";"2020-03-20";3
"50";"2020-03-20";3
"51";"2020-03-20";5
"52";"2020-03-20";3
"53";"2020-03-20";1
"54";"2020-03-20";7
"55";"2020-03-20";2
"56";"2020-03-20";4
"57";"2020-03-20";8
"58";"2020-03-20";1
"59";"2020-03-20";11
"60";"2020-03-20";8
"61";"2020-03-20";3
"62";"2020-03-20";11
"63";"2020-03-20";1
"64";"2020-03-20";3
"65";"2020-03-20";1
"66";"2020-03-20";1
"67";"2020-03-20";12
"68";"2020-03-20";11
"69";"2020-03-20";14
"70";"2020-03-20";1
"71";"2020-03-20";4
"72";"2020-03-20";1
"73";"2020-03-20";3
"74";"2020-03-20";6
"75";"2020-03-20";20
"76";"2020-03-20";4
"77";"2020-03-20";6
"78";"2020-03-20";9
"79";"2020-03-20";1
"80";"2020-03-20";4
"81";"2020-03-20";3
"82";"2020-03-20";1
"83";"2020-03-20";5
"84";"2020-03-20";5
"85";"2020-03-20";1
"86";"2020-03-20";1
"87";"2020-03-20";1
"88";"2020-03-20";4
"89";"2020-03-20";2
"90";"2020-03-20";1
"91";"2020-03-20";7
"92";"2020-03-20";15
"93";"2020-03-20";9
"94";"2020-03-20";11
"95";"2020-03-20";7
"971";"2020-03-20";0
"972";"2020-03-20";1
"973";"2020-03-20";0
"974";"2020-03-20";1
"976";"2020-03-20";0
"01";"2020-03-21";2
"02";"2020-03-21";6
"03";"2020-03-21";2
"04";"2020-03-21";2
"05";"2020-03-21";2
"06";"2020-03-21";8
"07";"2020-03-21";4
"08";"2020-03-21";1
"09";"2020-03-21";1
"10";"2020-03-21";2
"11";"2020-03-21";3
"12";"2020-03-21";1
"13";"2020-03-21";15
"14";"2020-03-21";3
"15";"2020-03-21";1
"16";"2020-03-21";1
"17";"2020-03-21";3
"18";"2020-03-21";0
"19";"2020-03-21";1
"21";"2020-03-21";2
"22";"2020-03-21";2
"23";"2020-03-21";1
"24";"2020-03-21";1
"25";"2020-03-21";2
"26";"2020-03-21";5
"27";"2020-03-21";1
"28";"2020-03-21";2
"29";"2020-03-21";3
"2A";"2020-03-21";1
"2B";"2020-03-21";1
"30";"2020-03-21";2
"31";"2020-03-21";6
"32";"2020-03-21";1
"33";"2020-03-21";8
"34";"2020-03-21";8
"35";"2020-03-21";2
"36";"2020-03-21";1
"37";"2020-03-21";1
"38";"2020-03-21";5
"39";"2020-03-21";2
"40";"2020-03-21";0
"41";"2020-03-21";1
"42";"2020-03-21";8
"43";"2020-03-21";1
"44";"2020-03-21";6
"45";"2020-03-21";2
"46";"2020-03-21";1
"47";"2020-03-21";2
"48";"2020-03-21";1
"49";"2020-03-21";3
"50";"2020-03-21";3
"51";"2020-03-21";5
"52";"2020-03-21";3
"53";"2020-03-21";1
"54";"2020-03-21";8
"55";"2020-03-21";2
"56";"2020-03-21";4
"57";"2020-03-21";9
"58";"2020-03-21";1
"59";"2020-03-21";13
"60";"2020-03-21";8
"61";"2020-03-21";3
"62";"2020-03-21";10
"63";"2020-03-21";1
"64";"2020-03-21";2
"65";"2020-03-21";1
"66";"2020-03-21";1
"67";"2020-03-21";12
"68";"2020-03-21";11
"69";"2020-03-21";15
"70";"2020-03-21";1
"71";"2020-03-21";4
"72";"2020-03-21";2
"73";"2020-03-21";4
"74";"2020-03-21";6
"75";"2020-03-21";21
"76";"2020-03-21";5
"77";"2020-03-21";6
"78";"2020-03-21";9
"79";"2020-03-21";1
"80";"2020-03-21";5
"81";"2020-03-21";3
"82";"2020-03-21";1
"83";"2020-03-21";5
"84";"2020-03-21";5
"85";"2020-03-21";1
"86";"2020-03-21";1
"87";"2020-03-21";2
"88";"2020-03-21";4
"89";"2020-03-21";2
"90";"2020-03-21";1
"91";"2020-03-21";9
"92";"2020-03-21";17
"93";"2020-03-21";10
"94";"2020-03-21";11
"95";"2020-03-21";7
"971";"2020-03-21";0
"972";"2020-03-21";1
"973";"2020-03-21";0
"974";"2020-03-21";1
"976";"2020-03-21";0
"01";"2020-03-22";4
"02";"2020-03-22";7
"03";"2020-03-22";2
"04";"2020-03-22";2
"05";"2020-03-22";2
"06";"2020-03-22";8
"07";"2020-03-22";4
"08";"2020-03-22";1
"09";"2020-03-22";1
"10";"2020-03-22";2
"11";"2020-03-22";3
"12";"2020-03-22";1
"13";"2020-03-22";15
"14";"2020-03-22";4
"15";"2020-03-22";1
"16";"2020-03-22";1
"17";"2020-03-22";3
"18";"2020-03-22";0
"19";"2020-03-22";2
"21";"2020-03-22";2
"22";"2020-03-22";2
"23";"2020-03-22";1
"24";"2020-03-22";1
"25";"2020-03-22";2
"26";"2020-03-22";5
"27";"2020-03-22";1
"28";"2020-03-22";2
"29";"2020-03-22";3
"2A";"2020-03-22";1
"2B";"2020-03-22";1
"30";"2020-03-22";2
"31";"2020-03-22";7
"32";"2020-03-22";1
"33";"2020-03-22";9
"34";"2020-03-22";8
"35";"2020-03-22";3
"36";"2020-03-22";1
"37";"2020-03-22";1
"38";"2020-03-22";5
"39";"2020-03-22";3
"40";"2020-03-22";0
"41";"2020-03-22";1
"42";"2020-03-22";8
"43";"2020-03-22";1
"44";"2020-03-22";7
"45";"2020-03-22";2
"46";"2020-03-22";1
"47";"2020-03-22";2
"48";"2020-03-22";1
"49";"2020-03-22";3
"50";"2020-03-22";3
"51";"2020-03-22";5
"52";"2020-03-22";3
"53";"2020-03-22";1
"54";"2020-03-22";9
"55";"2020-03-22";2
"56";"2020-03-22";4
"57";"2020-03-22";9
"58";"2020-03-22";1
"59";"2020-03-22";13
"60";"2020-03-22";8
"61";"2020-03-22";3
"62";"2020-03-22";10
"63";"2020-03-22";1
"64";"2020-03-22";2
"65";"2020-03-22";1
"66";"2020-03-22";1
"67";"2020-03-22";12
"68";"2020-03-22";12
"69";"2020-03-22";17
"70";"2020-03-22";1
"71";"2020-03-22";4
"72";"2020-03-22";2
"73";"2020-03-22";5
"74";"2020-03-22";6
"75";"2020-03-22";22
"76";"2020-03-22";5
"77";"2020-03-22";7
"78";"2020-03-22";9
"79";"2020-03-22";1
"80";"2020-03-22";6
"81";"2020-03-22";3
"82";"2020-03-22";1
"83";"2020-03-22";5
"84";"2020-03-22";5
"85";"2020-03-22";1
"86";"2020-03-22";1
"87";"2020-03-22";2
"88";"2020-03-22";4
"89";"2020-03-22";2
"90";"2020-03-22";1
"91";"2020-03-22";9
"92";"2020-03-22";17
"93";"2020-03-22";11
"94";"2020-03-22";11
"95";"2020-03-22";7
"971";"2020-03-22";1
"972";"2020-03-22";1
"973";"2020-03-22";0
"974";"2020-03-22";1
"976";"2020-03-22";0
"01";"2020-03-23";4
"02";"2020-03-23";7
"03";"2020-03-23";3
"04";"2020-03-23";2
"05";"2020-03-23";2
"06";"2020-03-23";7
"07";"2020-03-23";4
"08";"2020-03-23";1
"09";"2020-03-23";1
"10";"2020-03-23";2
"11";"2020-03-23";4
"12";"2020-03-23";1
"13";"2020-03-23";18
"14";"2020-03-23";4
"15";"2020-03-23";1
"16";"2020-03-23";1
"17";"2020-03-23";3
"18";"2020-03-23";0
"19";"2020-03-23";2
"21";"2020-03-23";2
"22";"2020-03-23";3
"23";"2020-03-23";1
"24";"2020-03-23";2
"25";"2020-03-23";2
"26";"2020-03-23";5
"27";"2020-03-23";1
"28";"2020-03-23";2
"29";"2020-03-23";3
"2A";"2020-03-23";1
"2B";"2020-03-23";1
"30";"2020-03-23";2
"31";"2020-03-23";8
"32";"2020-03-23";1
"33";"2020-03-23";11
"34";"2020-03-23";9
"35";"2020-03-23";4
"36";"2020-03-23";2
"37";"2020-03-23";1
"38";"2020-03-23";5
"39";"2020-03-23";3
"40";"2020-03-23";1
"41";"2020-03-23";1
"42";"2020-03-23";8
"43";"2020-03-23";1
"44";"2020-03-23";7
"45";"2020-03-23";2
"46";"2020-03-23";1
"47";"2020-03-23";1
"48";"2020-03-23";1
"49";"2020-03-23";3
"50";"2020-03-23";3
"51";"2020-03-23";5
"52";"2020-03-23";3
"53";"2020-03-23";1
"54";"2020-03-23";9
"55";"2020-03-23";2
"56";"2020-03-23";4
"57";"2020-03-23";9
"58";"2020-03-23";1
"59";"2020-03-23";16
"60";"2020-03-23";8
"61";"2020-03-23";3
"62";"2020-03-23";11
"63";"2020-03-23";1
"64";"2020-03-23";3
"65";"2020-03-23";1
"66";"2020-03-23";1
"67";"2020-03-23";13
"68";"2020-03-23";12
"69";"2020-03-23";17
"70";"2020-03-23";1
"71";"2020-03-23";4
"72";"2020-03-23";2
"73";"2020-03-23";5
"74";"2020-03-23";6
"75";"2020-03-23";22
"76";"2020-03-23";5
"77";"2020-03-23";8
"78";"2020-03-23";10
"79";"2020-03-23";1
"80";"2020-03-23";8
"81";"2020-03-23";3
"82";"2020-03-23";1
"83";"2020-03-23";5
"84";"2020-03-23";6
"85";"2020-03-23";1
"86";"2020-03-23";1
"87";"2020-03-23";2
"88";"2020-03-23";4
"89";"2020-03-23";2
"90";"2020-03-23";1
"91";"2020-03-23";11
"92";"2020-03-23";17
"93";"2020-03-23";12
"94";"2020-03-23";12
"95";"2020-03-23";7
"971";"2020-03-23";1
"972";"2020-03-23";1
"973";"2020-03-23";0
"974";"2020-03-23";1
"976";"2020-03-23";0
"01";"2020-03-24";4
"02";"2020-03-24";7
"03";"2020-03-24";3
"04";"2020-03-24";2
"05";"2020-03-24";2
"06";"2020-03-24";7
"07";"2020-03-24";4
"08";"2020-03-24";1
"09";"2020-03-24";1
"10";"2020-03-24";2
"11";"2020-03-24";4
"12";"2020-03-24";1
"13";"2020-03-24";18
"14";"2020-03-24";4
"15";"2020-03-24";1
"16";"2020-03-24";1
"17";"2020-03-24";3
"18";"2020-03-24";1
"19";"2020-03-24";2
"21";"2020-03-24";3
"22";"2020-03-24";2
"23";"2020-03-24";1
"24";"2020-03-24";2
"25";"2020-03-24";2
"26";"2020-03-24";5
"27";"2020-03-24";1
"28";"2020-03-24";2
"29";"2020-03-24";3
"2A";"2020-03-24";1
"2B";"2020-03-24";1
"30";"2020-03-24";2
"31";"2020-03-24";8
"32";"2020-03-24";1
"33";"2020-03-24";12
"34";"2020-03-24";9
"35";"2020-03-24";4
"36";"2020-03-24";2
"37";"2020-03-24";2
"38";"2020-03-24";6
"39";"2020-03-24";3
"40";"2020-03-24";1
"41";"2020-03-24";1
"42";"2020-03-24";8
"43";"2020-03-24";1
"44";"2020-03-24";8
"45";"2020-03-24";2
"46";"2020-03-24";1
"47";"2020-03-24";1
"48";"2020-03-24";1
"49";"2020-03-24";3
"50";"2020-03-24";3
"51";"2020-03-24";5
"52";"2020-03-24";3
"53";"2020-03-24";1
"54";"2020-03-24";10
"55";"2020-03-24";2
"56";"2020-03-24";4
"57";"2020-03-24";9
"58";"2020-03-24";1
"59";"2020-03-24";17
"60";"2020-03-24";9
"61";"2020-03-24";4
"62";"2020-03-24";11
"63";"2020-03-24";1
"64";"2020-03-24";3
"65";"2020-03-24";1
"66";"2020-03-24";1
"67";"2020-03-24";15
"68";"2020-03-24";15
"69";"2020-03-24";19
"70";"2020-03-24";1
"71";"2020-03-24";4
"72";"2020-03-24";3
"73";"2020-03-24";5
"74";"2020-03-24";6
"75";"2020-03-24";22
"76";"2020-03-24";5
"77";"2020-03-24";8
"78";"2020-03-24";10
"79";"2020-03-24";2
"80";"2020-03-24";11
"81";"2020-03-24";3
"82";"2020-03-24";1
"83";"2020-03-24";5
"84";"2020-03-24";6
"85";"2020-03-24";1
"86";"2020-03-24";1
"87";"2020-03-24";2
"88";"2020-03-24";5
"89";"2020-03-24";2
"90";"2020-03-24";1
"91";"2020-03-24";11
"92";"2020-03-24";17
"93";"2020-03-24";12
"94";"2020-03-24";13
"95";"2020-03-24";7
"971";"2020-03-24";1
"972";"2020-03-24";1
"973";"2020-03-24";0
"974";"2020-03-24";1
"976";"2020-03-24";0
"01";"2020-03-25";4
"02";"2020-03-25";8
"03";"2020-03-25";3
"04";"2020-03-25";2
"05";"2020-03-25";2
"06";"2020-03-25";8
"07";"2020-03-25";4
"08";"2020-03-25";1
"09";"2020-03-25";2
"10";"2020-03-25";2
"11";"2020-03-25";4
"12";"2020-03-25";2
"13";"2020-03-25";20
"14";"2020-03-25";6
"15";"2020-03-25";1
"16";"2020-03-25";1
"17";"2020-03-25";3
"18";"2020-03-25";1
"19";"2020-03-25";2
"21";"2020-03-25";3
"22";"2020-03-25";4
"23";"2020-03-25";1
"24";"2020-03-25";2
"25";"2020-03-25";2
"26";"2020-03-25";6
"27";"2020-03-25";3
"28";"2020-03-25";3
"29";"2020-03-25";4
"2A";"2020-03-25";1
"2B";"2020-03-25";1
"30";"2020-03-25";2
"31";"2020-03-25";11
"32";"2020-03-25";1
"33";"2020-03-25";13
"34";"2020-03-25";13
"35";"2020-03-25";4
"36";"2020-03-25";2
"37";"2020-03-25";2
"38";"2020-03-25";6
"39";"2020-03-25";3
"40";"2020-03-25";2
"41";"2020-03-25";1
"42";"2020-03-25";8
"43";"2020-03-25";1
"44";"2020-03-25";8
"45";"2020-03-25";2
"46";"2020-03-25";1
"47";"2020-03-25";1
"48";"2020-03-25";1
"49";"2020-03-25";3
"50";"2020-03-25";3
"51";"2020-03-25";6
"52";"2020-03-25";3
"53";"2020-03-25";1
"54";"2020-03-25";9
"55";"2020-03-25";3
"56";"2020-03-25";4
"57";"2020-03-25";10
"58";"2020-03-25";1
"59";"2020-03-25";18
"60";"2020-03-25";9
"61";"2020-03-25";4
"62";"2020-03-25";13
"63";"2020-03-25";2
"64";"2020-03-25";4
"65";"2020-03-25";1
"66";"2020-03-25";1
"67";"2020-03-25";17
"68";"2020-03-25";18
"69";"2020-03-25";20
"70";"2020-03-25";1
"71";"2020-03-25";5
"72";"2020-03-25";3
"73";"2020-03-25";5
"74";"2020-03-25";7
"75";"2020-03-25";23
"76";"2020-03-25";7
"77";"2020-03-25";11
"78";"2020-03-25";10
"79";"2020-03-25";2
"80";"2020-03-25";11
"81";"2020-03-25";3
"82";"2020-03-25";1
"83";"2020-03-25";7
"84";"2020-03-25";7
"85";"2020-03-25";2
"86";"2020-03-25";2
"87";"2020-03-25";2
"88";"2020-03-25";6
"89";"2020-03-25";2
"90";"2020-03-25";1
"91";"2020-03-25";11
"92";"2020-03-25";17
"93";"2020-03-25";13
"94";"2020-03-25";13
"95";"2020-03-25";8
"971";"2020-03-25";1
"972";"2020-03-25";1
"973";"2020-03-25";0
"974";"2020-03-25";1
"976";"2020-03-25";0
"01";"2020-03-26";5
"02";"2020-03-26";8
"03";"2020-03-26";3
"04";"2020-03-26";3
"05";"2020-03-26";2
"06";"2020-03-26";9
"07";"2020-03-26";4
"08";"2020-03-26";1
"09";"2020-03-26";2
"10";"2020-03-26";2
"11";"2020-03-26";4
"12";"2020-03-26";2
"13";"2020-03-26";22
"14";"2020-03-26";6
"15";"2020-03-26";1
"16";"2020-03-26";1
"17";"2020-03-26";3
"18";"2020-03-26";1
"19";"2020-03-26";2
"21";"2020-03-26";4
"22";"2020-03-26";4
"23";"2020-03-26";1
"24";"2020-03-26";2
"25";"2020-03-26";3
"26";"2020-03-26";6
"27";"2020-03-26";3
"28";"2020-03-26";3
"29";"2020-03-26";4
"2A";"2020-03-26";1
"2B";"2020-03-26";1
"30";"2020-03-26";2
"31";"2020-03-26";11
"32";"2020-03-26";1
"33";"2020-03-26";13
"34";"2020-03-26";13
"35";"2020-03-26";4
"36";"2020-03-26";2
"37";"2020-03-26";4
"38";"2020-03-26";7
"39";"2020-03-26";3
"40";"2020-03-26";2
"41";"2020-03-26";1
"42";"2020-03-26";9
"43";"2020-03-26";2
"44";"2020-03-26";8
"45";"2020-03-26";2
"46";"2020-03-26";1
"47";"2020-03-26";1
"48";"2020-03-26";1
"49";"2020-03-26";3
"50";"2020-03-26";3
"51";"2020-03-26";6
"52";"2020-03-26";3
"53";"2020-03-26";2
"54";"2020-03-26";10
"55";"2020-03-26";3
"56";"2020-03-26";4
"57";"2020-03-26";13
"58";"2020-03-26";1
"59";"2020-03-26";17
"60";"2020-03-26";10
"61";"2020-03-26";4
"62";"2020-03-26";13
"63";"2020-03-26";2
"64";"2020-03-26";4
"65";"2020-03-26";3
"66";"2020-03-26";1
"67";"2020-03-26";18
"68";"2020-03-26";20
"69";"2020-03-26";21
"70";"2020-03-26";1
"71";"2020-03-26";6
"72";"2020-03-26";4
"73";"2020-03-26";5
"74";"2020-03-26";9
"75";"2020-03-26";25
"76";"2020-03-26";8
"77";"2020-03-26";12
"78";"2020-03-26";10
"79";"2020-03-26";2
"80";"2020-03-26";11
"81";"2020-03-26";4
"82";"2020-03-26";1
"83";"2020-03-26";8
"84";"2020-03-26";7
"85";"2020-03-26";3
"86";"2020-03-26";2
"87";"2020-03-26";2
"88";"2020-03-26";6
"89";"2020-03-26";2
"90";"2020-03-26";1
"91";"2020-03-26";11
"92";"2020-03-26";17
"93";"2020-03-26";13
"94";"2020-03-26";13
"95";"2020-03-26";9
"971";"2020-03-26";1
"972";"2020-03-26";1
"973";"2020-03-26";0
"974";"2020-03-26";1
"976";"2020-03-26";0
"01";"2020-03-27";6
"02";"2020-03-27";8
"03";"2020-03-27";3
"04";"2020-03-27";3
"05";"2020-03-27";2
"06";"2020-03-27";9
"07";"2020-03-27";4
"08";"2020-03-27";1
"09";"2020-03-27";2
"10";"2020-03-27";2
"11";"2020-03-27";5
"12";"2020-03-27";2
"13";"2020-03-27";24
"14";"2020-03-27";6
"15";"2020-03-27";1
"16";"2020-03-27";1
"17";"2020-03-27";3
"18";"2020-03-27";1
"19";"2020-03-27";4
"21";"2020-03-27";4
"22";"2020-03-27";5
"23";"2020-03-27";1
"24";"2020-03-27";2
"25";"2020-03-27";3
"26";"2020-03-27";6
"27";"2020-03-27";3
"28";"2020-03-27";3
"29";"2020-03-27";4
"2A";"2020-03-27";1
"2B";"2020-03-27";1
"30";"2020-03-27";3
